UPC#12,UPC#11,KEHE#,CUST ITEM#,BRAND,ITEM DESC,SIZE,UOM,PACK,CASE PRICE,RETAIL PRICE,CAT1,CAT2,CAT3,CLASS DESC,DIV DESC,DEPARTMENT,ITEM STATUS,CASE LENGTH,CASE WIDTH,CASE HEIGHT,CASE WEIGHT
871459001333,87145900133,258617,,DAIYA,DAIYA MAC & CHS CHEDDR DELUXE,10.60,OZ,8,30.960,5.59,Specialty Groce,ENTREE PREPARED,MACARONI & CHEESE DI,ENTREE PREPARED DISHES,SPECIALTY GROCERY,100,ACTIVE,0000009,6.30,8.890,6.270
871459001340,87145900134,258618,,DAIYA,DAIYA MAC & CHS ALFREDO DELUXE,10.60,OZ,8,30.960,5.59,Specialty Groce,ENTREE PREPARED,MACARONI & CHEESE DI,ENTREE PREPARED DISHES,SPECIALTY GROCERY,100,ACTIVE,0000009,6.27,8.890,6.270
871459001357,87145900135,258619,,DAIYA,DAIYA MAC & CHS WHT CHDDR DLUX,10.60,OZ,8,30.960,5.59,Specialty Groce,ENTREE PREPARED,MACARONI & CHEESE DI,ENTREE PREPARED DISHES,SPECIALTY GROCERY,100,ACTIVE,0000009,6.30,8.890,6.270
016291441897,01629144189,258627,,MORTON & BASSET,MORTON & BASSETT CHILI ANCHO POWDER GRND,2.300,OZ,3,19.890,9.49,Specialty Groce,SPICES SEASONIN,SEASONING LOOSE JAR,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000008,6.50,4.500,3.000
857183005038,85718300503,258654,,BANZA,BANZA PASTA CHICKPEA SHELLS,8.000,OZ,6,20.520,4.89,Specialty Groce,SS PASTA,SHORT CUT PASTA,SS PASTA,SPECIALTY GROCERY,100,ACTIVE,0000005,10.06,7.560,3.840
857183005021,85718300502,258655,,BANZA,BANZA PASTA CHICKPEA ELBOWS,8.000,OZ,6,20.520,4.89,Specialty Groce,SS PASTA,SHORT CUT PASTA,SS PASTA,SPECIALTY GROCERY,100,ACTIVE,0000005,10.06,7.560,3.840
052603067522,05260306752,258698,,PACIFIC FOODS,PACIFIC FOODS COCONUT UNSWT VAN ORG,32.00,FO,12,36.960,4.49,Natural Grocery,SS NON DAIRY BE,OTHER NUT BASED NON,SS DAIRY NON DAIRY LIQUID BEV,NATURAL GROCERY,100,ACTIVE,0000014,7.90,8.850,26.680
851356004255,85135600425,258755,,SMARTYPANTS,SMARTYPANTS KIDS FORMULA,90.00,PC,1,12.590,17.99,Herbs,KIDS,VITAMIN,KIDS,VITAMINS MINERALS SUPPLEMENTS,100,ACTIVE,0000012,9.00,5.500,7.560
851356004262,85135600426,258757,,SMARTYPANTS,SMARTYPANTS KIDS FORMULA AND FIBER,90.00,PC,1,15.190,21.79,Herbs,KIDS,VITAMIN,KIDS,VITAMINS MINERALS SUPPLEMENTS,100,ACTIVE,0000012,9.00,5.500,7.370
070491231009,07049123100,258765,,MASTER OF MIXES,MASTER OF MIXES MIX WTRMLN DAIQUIRI MARG,33.80,OZ,6,21.420,5.19,Specialty Groce,COCKTAIL MIXERS,DRINK MIXER NON SPAR,COCKTAIL MIXERS,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000014,11.25,11.810,35.500
