UPC#12,UPC#11,KEHE#,CUST ITEM#,BRAND,ITEM DESC,SIZE,UOM,PACK,CASE PRICE,RETAIL PRICE,CAT1,CAT2,CAT3,CLASS DESC,DIV DESC,DEPARTMENT,ITEM STATUS,CASE LENGTH,CASE WIDTH,CASE HEIGHT,CASE WEIGHT
072273135307,07227313530,260243,,KUNERS,KUNERS BEANS CANNELLINI,15.00,OZ,12,17.520,2.09,Specialty Groce,SS FRUIT & VEG,CANNED BEANS,SS FRUIT & VEG,SPECIALTY GROCERY,100,ACTIVE,0000012,9.25,4.500,13.380
072273138179,07227313817,260256,,KUNERS,KUNERS BEANS GARBANZO,15.00,OZ,12,17.520,2.09,Specialty Groce,SS FRUIT & VEG,CANNED BEANS,SS FRUIT & VEG,SPECIALTY GROCERY,100,ACTIVE,0000012,9.25,4.500,13.860
072273137172,07227313717,260258,,KUNERS,KUNERS BEANS PINTO,15.00,OZ,12,17.520,2.09,Specialty Groce,SS FRUIT & VEG,CANNED BEANS,SS FRUIT & VEG,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000012,9.25,4.500,13.630
816007010542,81600701054,260267,,PANTRY CLUB,PANTRY CLUB DIP MIX ONION CHIVE,.910,OZ,12,28.680,3.49,Specialty Groce,SPICES SEASONIN,GRAVY FOIL MIXES,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000018,14.00,8.000,13.000
084253246248,08425324624,260313,,IMAGINE,IMAGINE GRAVY TURKEY RSTD ORG,13.50,FO,12,32.040,3.89,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000011,7.13,4.630,10.800
861619000030,86161900003,260320,,PEANUT BUTTER &,PEANUT BUTTER & CO PEANUT BTR PWDR ORIGINAL,6.500,OZ,6,28.380,6.79,Specialty Groce,NUT BUTTERS,PEANUT BUTTER,NUT BUTTERS & TAHINI,SPECIALTY GROCERY,100,MANUFACTURER_TEMP_OUT,0000008,.75,6.600,3.500
044989210968,04498921096,260436,,EL GUAPO,EL GUAPO SPICE JAPANESE RED PPR WH,2.500,OZ,24,42.480,2.59,Specialty Groce,AUTHENTIC MEXIC,SPICES SEASONING GRA,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000016,12.00,9.000,7.300
044989210975,04498921097,260437,,EL GUAPO,EL GUAPO SPICE CHILI DE ARBOL WH,2.000,OZ,12,21.240,2.59,Specialty Groce,AUTHENTIC MEXIC,SPICES SEASONING GRA,SPICES SEASONING GRAVY COATING,SPECIALTY GROCERY,100,ACTIVE,0000011,8.50,7.250,2.030
072273136106,07227313610,260465,,KUNERS,KUNERS BEANS BLACK,15.00,OZ,12,17.520,2.09,Specialty Groce,SS FRUIT & VEG,CANNED BEANS,SS FRUIT & VEG,SPECIALTY GROCERY,100,ACTIVE,0000012,9.25,4.500,13.560
085693101500,08569310150,260468,,SESMARK,SESMARK RICE THN SVRY BRWN RICE,3.200,OZ,12,30.360,3.69,Natural Grocery,CRACKERS CRISPB,CRSPBRDS WAFERS CRCK,CRACKERS CRISPBREADS CHIPS,NATURAL GROCERY,100,ACTIVE,0000008,8.90,8.600,3.900
898195001656,89819500165,260636,,FEVER TREE,FEVER TREE WATER TONIC ELDRFLWR 4PK,27.20,FO,6,26.340,6.29,Specialty Groce,COCKTAIL MIXERS,TONIC WATER,COCKTAIL MIXERS,SPECIALTY GROCERY,100,ACTIVE,0000012,8.50,7.500,19.600
